size,amount,matchSize,plugins,usefulMatches,totalMatches
16,3,5,"hiddenPairs, nFish, removeByElements",1189,2732
16,3,8,"hiddenPairs, nFish, removeByElements",196,433
16,3,9,"hiddenPairs, nFish, removeByElements",131,237
16,3,11,"hiddenPairs, nFish, removeByElements",42,66
16,3,13,"hiddenPairs, nFish, removeByElements",8,17
16,3,12,"hiddenPairs, nFish, removeByElements",20,52
16,3,7,"hiddenPairs, nFish, removeByElements",364,677
16,3,10,"hiddenPairs, nFish, removeByElements",79,158
16,3,1,"nFish, nakedPairs, pointingArrows",34144,510919
16,3,3,"nFish, nakedPairs, pointingArrows",4183,16113
16,3,2,"nFish, nakedPairs, pointingArrows",17854,102875
16,3,5,"nFish, nakedPairs, pointingArrows",543,1144
16,3,4,"nFish, nakedPairs, pointingArrows",1194,3612
16,3,6,"nFish, nakedPairs, pointingArrows",182,318
16,3,12,"nFish, nakedPairs, pointingArrows",2,8
16,3,10,"nFish, nakedPairs, pointingArrows",2,5
16,3,7,"nFish, nakedPairs, pointingArrows",76,171
16,3,8,"nFish, nakedPairs, pointingArrows",26,48
16,3,9,"nFish, nakedPairs, pointingArrows",13,29
16,3,11,"nFish, nakedPairs, pointingArrows",1,1
16,3,1,"nFish, nakedPairs, removeByElements",66102,217840
16,3,2,"nFish, nakedPairs, removeByElements",20820,111561
16,3,4,"nFish, nakedPairs, removeByElements",2828,11427
16,3,5,"nFish, nakedPairs, removeByElements",1098,4628
16,3,6,"nFish, nakedPairs, removeByElements",473,2108
16,3,3,"nFish, nakedPairs, removeByElements",7356,32511
16,3,8,"nFish, nakedPairs, removeByElements",61,639
16,3,7,"nFish, nakedPairs, removeByElements",195,1090
16,3,12,"nFish, nakedPairs, removeByElements",0,38
16,3,9,"nFish, nakedPairs, removeByElements",21,276
16,3,10,"nFish, nakedPairs, removeByElements",10,183
16,3,11,"nFish, nakedPairs, removeByElements",3,78
16,3,13,"nFish, nakedPairs, removeByElements",0,14
16,3,1,"nFish, pointingArrows, removeByElements",45169,370242
16,3,2,"nFish, pointingArrows, removeByElements",13008,109823
16,3,4,"nFish, pointingArrows, removeByElements",2126,13814
16,3,5,"nFish, pointingArrows, removeByElements",915,6033
16,3,6,"nFish, pointingArrows, removeByElements",371,2771
16,3,3,"nFish, pointingArrows, removeByElements",5181,37306
